ID;SIREN;Organisation_name;Type_of_org;zip_code;City;Department_code;Department_name;Region
1;15650955;IMPRIMERIE COOPERATIVE OUVRIERE;Cooperative;21000;DIJON;21;COTE D OR;BOURGOGNE FRANCHE COMTE
2;341425858;CITE CREATION;Cooperative;69600;OULLINS;69;RHONE;AUVERGNE RHONE ALPES
3;379783871;ASSOC PARENTS ELEVES;Associations;43320;VAZEILLES-LIMANDRE;43;HAUTE LOIRE;AUVERGNE RHONE ALPES
4;397495086;CORYPHEE;Associations;25200;MONTBELIARD;25;DOUBS;BOURGOGNE FRANCHE COMTE
5;407694082;ASSOCIATION EVI DANSE;Associations;38190;BERNIN;38;ISERE;AUVERGNE RHONE ALPES
6;441977931;ASSOCIATION FRANCAISE DE DROIT CONSTITUTIONNEL;Associations;13090;AIX-EN-PROVENCE;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
7;433987047;DE L'ESPOIR POUR ORNELLA;Associations;13360;ROQUEVAIRE;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
8;453249096;ASSOCIATION SPORTIVE DE SALANS;Associations;39700;SALANS;39;JURA;BOURGOGNE FRANCHE COMTE
9;488023672;FLAMENCO PASION;Associations;69006;LYON 6EME;69;RHONE;AUVERGNE RHONE ALPES
10;490018918;ASSOCIATION LOCALE ADMR EHPAD AITON;Associations;73220;AITON;73;SAVOIE;AUVERGNE RHONE ALPES
11;508278199;COMITE DES FETES DE SAINT JUST MARSEILLE;Associations;13013;MARSEILLE 13;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
12;518507496;RESEAU DES CREFAD;Associations;63000;CLERMONT-FERRAND;63;PUY DE DOME;AUVERGNE RHONE ALPES
13;523645992;SPIRALE - LES PRETRES;Associations;13007;MARSEILLE 7;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
14;751108622;ASSOCIATION AGREEE DE PECHE ET DE PROTECTION DU MILIEU AQUATIQUE DE LES AMIS DE LA SEMENE;Associations;43330;PONT-SALOMON;43;HAUTE LOIRE;AUVERGNE RHONE ALPES
15;779489327;SOCIETE DE CHASSE;Associations;38320;BRIE-ET-ANGONNES;38;ISERE;AUVERGNE RHONE ALPES
16;798899860;L ACADEMIE DES ETOILES DU VAR;Associations;83640;SAINT-ZACHARIE;83;VAR;PROVENCE ALPES COTE D AZUR
17;15750748;COOP HABITAT BOURGOGNE;Cooperative;71100;CHALON-SUR-SAONE;71;SAONE ET LOIRE;BOURGOGNE FRANCHE COMTE
18;341425932;LA RESPELIDO;Associations;83200;TOULON;83;VAR;PROVENCE ALPES COTE D AZUR
19;379784200;ASSOC PARENTS ELEVES;Associations;43300;PINOLS;43;HAUTE LOIRE;AUVERGNE RHONE ALPES
20;397496340;SEBASTYAN THAI BOXING CLUB;Associations;43000;LE PUY-EN-VELAY;43;HAUTE LOIRE;AUVERGNE RHONE ALPES
21;407694884;ASSO LA FAMILIALE;Associations;73470;NOVALAISE;73;SAVOIE;AUVERGNE RHONE ALPES
22;441978004;COLLECTIF SANTE JEUNES DU PAYS AUBAGNAIS;Associations;13400;AUBAGNE;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
23;433987732;ASS MAEVA;Associations;13001;MARSEILLE 1;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
24;453249203;DOMAINE PAUL CLAUDEL;Associations;38510;BRANGUES;38;ISERE;AUVERGNE RHONE ALPES
25;488024118;BANANA SPLIT;Associations;63230;MAZAYE;63;PUY DE DOME;AUVERGNE RHONE ALPES
26;490019247;AMBOE;Cooperative;13009;MARSEILLE 9;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
27;508278686;MULTI GV TONIC;Associations;38350;LA MURE;38;ISERE;AUVERGNE RHONE ALPES
28;518507561;CENTRE DU FEDERAL ART COMBAT;Associations;84110;VAISON-LA-ROMAINE;84;VAUCLUSE;PROVENCE ALPES COTE D AZUR
29;523646081;ASSOCIATION SPORTIVE VETERANS BEAUCOURT FOOT.;Associations;90500;BEAUCOURT;90;TERRITOIRE DE BELFORT;BOURGOGNE FRANCHE COMTE
30;751109893;COM ST SYMPHORIEN CHARMOY FEDERATION NAT ANCIENS COMBAT AMT;Associations;71710;SAINT-SYMPHORIEN-DE-MARMAGNE;71;SAONE ET LOIRE;BOURGOGNE FRANCHE COMTE
31;779489541;AMICALE CORPS SAPEURS POMPIERS;Associations;38320;BRIE-ET-ANGONNES;38;ISERE;AUVERGNE RHONE ALPES
32;798900429;TOILES ET PINCEAUX;Associations;83600;FREJUS;83;VAR;PROVENCE ALPES COTE D AZUR
33;15950017;BFC PROMOTION HABITAT;Cooperative;21000;DIJON;21;COTE D OR;BOURGOGNE FRANCHE COMTE
34;341430957;ASS POM'CERISES;Associations;69230;SAINT-GENIS-LAVAL;69;RHONE;AUVERGNE RHONE ALPES
35;379785926;COMITE DEP HAND BALL HAUTE SAONE;Associations;70000;VESOUL;70;HAUTE SAONE;BOURGOGNE FRANCHE COMTE
36;397497207;CENTRE FORMATION AERONAUTIQUE BOURGOGNE;Associations;89600;CHEU;89;YONNE;BOURGOGNE FRANCHE COMTE
37;407695287;GUILDE DES UTILISATEURS D'INFORMATIQUE LIBRE DU DAUPHINE;Associations;38000;GRENOBLE;38;ISERE;AUVERGNE RHONE ALPES
38;441978194;MEDOBS;Associations;13250;SAINT-CHAMAS;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
39;433988367;PATRIMOINE AU PRESENT LES AMIS DU CIER;Associations;42100;SAINT-ETIENNE;42;LOIRE;AUVERGNE RHONE ALPES
40;453254666;EL CAMINO REAL;Associations;38960;SAINT-AUPRE;38;ISERE;AUVERGNE RHONE ALPES
41;488024332;FDB MUAY THAI;Associations;63000;CLERMONT-FERRAND;63;PUY DE DOME;AUVERGNE RHONE ALPES
42;490020047;GASFACE MEDIA;Associations;69001;LYON 1ER;69;RHONE;AUVERGNE RHONE ALPES
43;508288545;BOOZOOLOOF PRODUCTION;Associations;13003;MARSEILLE 3;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
44;518508171;ASSOCIATION DES PARENTS D'ELEVES DES ECOLES DE COLLOBRIERES;Associations;83610;COLLOBRIERES;83;VAR;PROVENCE ALPES COTE D AZUR
45;523646248;FOOTBALL CLUB FEMININ 13;Associations;13013;MARSEILLE 13;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
46;751110669;GROUPE ECONOMIQUE SOLIDAIRE 38;Associations;38100;GRENOBLE;38;ISERE;AUVERGNE RHONE ALPES
47;779489772;CLUB OMNISPORT U S B LA BUISSE;Associations;38500;LA BUISSE;38;ISERE;AUVERGNE RHONE ALPES
48;798900601;GROUPEMENT D'ENTREPRISES SOLIDAIRES PARTAGE ET TRAVAIL;Associations;13090;AIX-EN-PROVENCE;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
49;16050726;PARC EXPOS ET CONGRES DE DIJON;Associations;21000;DIJON;21;COTE D OR;BOURGOGNE FRANCHE COMTE
50;341432565;THEATRE LES CLOCHARDS CELESTES;Associations;69001;LYON 1ER;69;RHONE;AUVERGNE RHONE ALPES
51;379787492;TENNIS CLUB DE L'AGGLOMERATION VESULIENNE;Associations;70000;VAIVRE-ET-MONTOILLE;70;HAUTE SAONE;BOURGOGNE FRANCHE COMTE
52;397497793;GROUPE COMMERCIAL ARTISANAL APT&ENVIRONS;Associations;84400;APT;84;VAUCLUSE;PROVENCE ALPES COTE D AZUR
53;407695832;GROUPEMENT D'EMPLOYEURS DE GERVANS;Associations;26600;GERVANS;26;DROME;AUVERGNE RHONE ALPES
54;441978673;ECOLE DE JEUNES SAPEURS POMPIERS;Associations;43000;LE PUY-EN-VELAY;43;HAUTE LOIRE;AUVERGNE RHONE ALPES
55;433988532;ECOLE DE DANSE CANTON DE NOIRETABLE;Associations;42440;NOIRETABLE;42;LOIRE;AUVERGNE RHONE ALPES
56;453254831;CLUB PETANQUE LE CARREAU DE MARSANNAY;Associations;21160;MARSANNAY-LA-COTE;21;COTE D OR;BOURGOGNE FRANCHE COMTE
57;488027962;MEDEF CORSE;Associations;20090;AJACCIO;2A;CORSE DU SUD;CORSE
58;490020062;LOISIRS ET BIEN ETRE A ARSAC;Associations;43700;ARSAC-EN-VELAY;43;HAUTE LOIRE;AUVERGNE RHONE ALPES
59;508288735;SERVICE DE REMPLACEMENT VALLEE DE M;Associations;73300;SAINT-JEAN-DE-MAURIENNE;73;SAVOIE;AUVERGNE RHONE ALPES
60;518512967;L ART DU YOGA;Associations;21300;CHENOVE;21;COTE D OR;BOURGOGNE FRANCHE COMTE
61;523646271;ASSOCIATION LOCALE POUR LE CULTE DES TEMOINS DE JEHOVAH DE LONS LE SAUNIER;Associations;39570;COURBOUZON;39;JURA;BOURGOGNE FRANCHE COMTE
62;751110917;LA SOURCE;Associations;21410;AGEY;21;COTE D OR;BOURGOGNE FRANCHE COMTE
63;779489798;ASSOC FAMILIALE DE LA BUISSE;Associations;38500;LA BUISSE;38;ISERE;AUVERGNE RHONE ALPES
64;798901039;AGENCE DE L ERREUR;Associations;13001;MARSEILLE 1;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
65;16350266;SOCIETE DE CAUTION MUTUELLE IMMOBILIERE DE BOURGOGNE FRANCHE COMTE;Cooperative;21000;DIJON;21;COTE D OR;BOURGOGNE FRANCHE COMTE
66;341435519;OFFICE CENTRAL COOPERATION A L'ECOLE;Associations;90000;BELFORT;90;TERRITOIRE DE BELFORT;BOURGOGNE FRANCHE COMTE
67;379787658;ASS CIE THEATRE PAUL NATHAN;Associations;83300;DRAGUIGNAN;83;VAR;PROVENCE ALPES COTE D AZUR
68;397499971;ASS RHONE ALPES ORCHIDEES;Associations;69008;LYON 8EME;69;RHONE;AUVERGNE RHONE ALPES
69;407697812;LE RELAIS;Associations;84110;SEGURET;84;VAUCLUSE;PROVENCE ALPES COTE D AZUR
70;441981230;ASSOCIATION NOIR SALLE;Associations;26110;MIRABEL-AUX-BARONNIES;26;DROME;AUVERGNE RHONE ALPES
71;433989464;GALAXY FORMATION;Associations;38090;VILLEFONTAINE;38;ISERE;AUVERGNE RHONE ALPES
72;453256521;ECURIE LES FOUS DU VOLANT;Associations;83136;NEOULES;83;VAR;PROVENCE ALPES COTE D AZUR
73;488028200;ASSOCIATION LE FIL DE SOIE;Associations;13015;MARSEILLE 15;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
74;490021250;VENTU DI MARE;Associations;20214;CALENZANA;2B;HAUTE CORSE;CORSE
75;508288834;LA MASCOTTE;Associations;69100;VILLEURBANNE;69;RHONE;AUVERGNE RHONE ALPES
76;518519608;ECOLE DE DANSE;Associations;38870;SAINT-SIMEON-DE-BRESSIEUX;38;ISERE;AUVERGNE RHONE ALPES
77;523646875;ASSEMBLEE DE DIEU DE MARTIGUES;Associations;13500;MARTIGUES;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
78;751111238;VERS UNE AUTRE PALETTE;Associations;13011;MARSEILLE 11;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
79;779490648;OGEC CHABONS;Associations;38690;CHABONS;38;ISERE;AUVERGNE RHONE ALPES
80;798901583;METEOR;Cooperative;43200;YSSINGEAUX;43;HAUTE LOIRE;AUVERGNE RHONE ALPES
81;16550329;ASSOCIATION IMMOBILIERE;Associations;21000;DIJON;21;COTE D OR;BOURGOGNE FRANCHE COMTE
82;341435758;FERTILY;Associations;69008;LYON 8EME;69;RHONE;AUVERGNE RHONE ALPES
83;379788235;COMITE BOURGOGNE CANOE KAYAK;Associations;21000;DIJON;21;COTE D OR;BOURGOGNE FRANCHE COMTE
84;397501552;ASSOCIATION AGIR;Associations;89200;AVALLON;89;YONNE;BOURGOGNE FRANCHE COMTE
