ID;SIREN;Organisation_name;Type_of_org;zip_code;City;Department_code;Department_name;Region
1;15650955;IMPRIMERIE COOPERATIVE OUVRIERE;Coop‚ratives;21000;DIJON;21;COTE D OR;BOURGOGNE FRANCHE COMTE
2;341425858;CITE CREATION;Coop‚ratives;69600;OULLINS;69;RHONE;AUVERGNE RHONE ALPES
3;379783871;ASSOC PARENTS ELEVES;Associations;43320;VAZEILLES-LIMANDRE;43;HAUTE LOIRE;AUVERGNE RHONE ALPES
4;397495086;CORYPHEE;Associations;25200;MONTBELIARD;25;DOUBS;BOURGOGNE FRANCHE COMTE
5;407694082;ASSOCIATION EVI DANSE;Associations;38190;BERNIN;38;ISERE;AUVERGNE RHONE ALPES
6;441977931;ASSOCIATION FRANCAISE DE DROIT CONSTITUTIONNEL;Associations;13090;AIX-EN-PROVENCE;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
7;433987047;DE L'ESPOIR POUR ORNELLA;Associations;13360;ROQUEVAIRE;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
8;453249096;ASSOCIATION SPORTIVE DE SALANS;Associations;39700;SALANS;39;JURA;BOURGOGNE FRANCHE COMTE
9;488023672;FLAMENCO PASION;Associations;69006;LYON 6EME;69;RHONE;AUVERGNE RHONE ALPES
10;490018918;ASSOCIATION LOCALE ADMR EHPAD AITON;Associations;73220;AITON;73;SAVOIE;AUVERGNE RHONE ALPES
11;508278199;COMITE DES FETES DE SAINT JUST MARSEILLE;Associations;13013;MARSEILLE 13;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
12;518507496;RESEAU DES CREFAD;Associations;63000;CLERMONT-FERRAND;63;PUY DE DOME;AUVERGNE RHONE ALPES
13;523645992;SPIRALE - LES PRETRES;Associations;13007;MARSEILLE 7;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
14;751108622;ASSOCIATION AGREEE DE PECHE ET DE PROTECTION DU MILIEU AQUATIQUE DE LES AMIS DE LA SEMENE;Associations;43330;PONT-SALOMON;43;HAUTE LOIRE;AUVERGNE RHONE ALPES
15;779489327;SOCIETE DE CHASSE;Associations;38320;BRIE-ET-ANGONNES;38;ISERE;AUVERGNE RHONE ALPES
16;798899860;L ACADEMIE DES ETOILES DU VAR;Associations;83640;SAINT-ZACHARIE;83;VAR;PROVENCE ALPES COTE D AZUR
17;15750748;COOP HABITAT BOURGOGNE;Coop‚ratives;71100;CHALON-SUR-SAONE;71;SAONE ET LOIRE;BOURGOGNE FRANCHE COMTE
18;341425932;LA RESPELIDO;Associations;83200;TOULON;83;VAR;PROVENCE ALPES COTE D AZUR
19;379784200;ASSOC PARENTS ELEVES;Associations;43300;PINOLS;43;HAUTE LOIRE;AUVERGNE RHONE ALPES
20;397496340;SEBASTYAN THAI BOXING CLUB;Associations;43000;LE PUY-EN-VELAY;43;HAUTE LOIRE;AUVERGNE RHONE ALPES
21;407694884;ASSO LA FAMILIALE;Associations;73470;NOVALAISE;73;SAVOIE;AUVERGNE RHONE ALPES
22;441978004;COLLECTIF SANTE JEUNES DU PAYS AUBAGNAIS;Associations;13400;AUBAGNE;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
23;433987732;ASS MAEVA;Associations;13001;MARSEILLE 1;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
24;453249203;DOMAINE PAUL CLAUDEL;Associations;38510;BRANGUES;38;ISERE;AUVERGNE RHONE ALPES
25;488024118;BANANA SPLIT;Associations;63230;MAZAYE;63;PUY DE DOME;AUVERGNE RHONE ALPES
26;490019247;AMBOE;Coop‚ratives;13009;MARSEILLE 9;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
27;508278686;MULTI GV TONIC;Associations;38350;LA MURE;38;ISERE;AUVERGNE RHONE ALPES
28;518507561;CENTRE DU FEDERAL ART COMBAT;Associations;84110;VAISON-LA-ROMAINE;84;VAUCLUSE;PROVENCE ALPES COTE D AZUR
29;523646081;ASSOCIATION SPORTIVE VETERANS BEAUCOURT FOOT.;Associations;90500;BEAUCOURT;90;TERRITOIRE DE BELFORT;BOURGOGNE FRANCHE COMTE
