"ID";"SIREN";"Organisation_name";"Type_of_org";"zip_code";"City";"Department_code";"Department_name";"Region";"categorie_entreprise";"etablissements";"creation_date";"juridical_nature";"is_sse";"is_mission_driven"
1;15650955;"IMPRIMERIE COOPERATIVE OUVRIERE";"Cooperative";21000;"DIJON";"21";"COTE D OR";"BOURGOGNE FRANCHE COMTE";"Not_found";"Not_found";"Not_found";"Not_found";"Not_found";"Not_found"
2;341425858;"CITE CREATION";"Cooperative";69600;"OULLINS";"69";"RHONE";"AUVERGNE RHONE ALPES";"PME";"1";"1987-05-11";"5458";"TRUE";"FALSE"
3;379783871;"ASSOC PARENTS ELEVES";"Associations";43320;"VAZEILLES-LIMANDRE";"43";"HAUTE LOIRE";"AUVERGNE RHONE ALPES";"PME";"1";"1990-09-01";"9220";"TRUE";"FALSE"
4;397495086;"CORYPHEE";"Associations";25200;"MONTBELIARD";"25";"DOUBS";"BOURGOGNE FRANCHE COMTE";NA;"1";"1992-07-01";"9220";"TRUE";"FALSE"
5;407694082;"ASSOCIATION EVI DANSE";"Associations";38190;"BERNIN";"38";"ISERE";"AUVERGNE RHONE ALPES";NA;"1";"1996-04-15";"9220";"TRUE";"FALSE"
6;441977931;"ASSOCIATION FRANCAISE DE DROIT CONSTITUTIONNEL";"Associations";13090;"AIX-EN-PROVENCE";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";NA;"1";"2000-03-22";"9220";"TRUE";"FALSE"
7;433987047;"DE L'ESPOIR POUR ORNELLA";"Associations";13360;"ROQUEVAIRE";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";NA;"1";"2000-12-01";"9220";"TRUE";"FALSE"
8;453249096;"ASSOCIATION SPORTIVE DE SALANS";"Associations";39700;"SALANS";"39";"JURA";"BOURGOGNE FRANCHE COMTE";"PME";"1";"2004-01-01";"9220";"TRUE";"FALSE"
9;488023672;"FLAMENCO PASION";"Associations";69006;"LYON 6EME";"69";"RHONE";"AUVERGNE RHONE ALPES";"PME";"1";"2005-11-03";"9220";"TRUE";"FALSE"
10;490018918;"ASSOCIATION LOCALE ADMR EHPAD AITON";"Associations";73220;"AITON";"73";"SAVOIE";"AUVERGNE RHONE ALPES";"PME";"1";"2006-01-01";"9220";"TRUE";"FALSE"
11;508278199;"COMITE DES FETES DE SAINT JUST MARSEILLE";"Associations";13013;"MARSEILLE 13";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";NA;"1";"2006-10-20";"9220";"TRUE";"FALSE"
12;518507496;"RESEAU DES CREFAD";"Associations";63000;"CLERMONT-FERRAND";"63";"PUY DE DOME";"AUVERGNE RHONE ALPES";"PME";"1";"2002-09-10";"9220";"TRUE";"FALSE"
13;523645992;"SPIRALE - LES PRETRES";"Associations";13007;"MARSEILLE 7";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";NA;"1";"1982-06-09";"9220";"TRUE";"FALSE"
14;751108622;"ASSOCIATION AGREEE DE PECHE ET DE PROTECTION DU MILIEU AQUATIQUE DE LES AMIS DE LA SEMENE";"Associations";43330;"PONT-SALOMON";"43";"HAUTE LOIRE";"AUVERGNE RHONE ALPES";NA;"1";"1983-03-10";"9220";"TRUE";"FALSE"
15;779489327;"SOCIETE DE CHASSE";"Associations";38320;"BRIE-ET-ANGONNES";"38";"ISERE";"AUVERGNE RHONE ALPES";NA;"1";"1900-01-01";"9220";"TRUE";"FALSE"
16;798899860;"L ACADEMIE DES ETOILES DU VAR";"Associations";83640;"SAINT-ZACHARIE";"83";"VAR";"PROVENCE ALPES COTE D AZUR";NA;"1";"2013-09-12";"9220";"TRUE";"FALSE"
17;15750748;"COOP HABITAT BOURGOGNE";"Cooperative";71100;"CHALON-SUR-SAONE";"71";"SAONE ET LOIRE";"BOURGOGNE FRANCHE COMTE";"Not_found";"Not_found";"Not_found";"Not_found";"Not_found";"Not_found"
18;341425932;"LA RESPELIDO";"Associations";83200;"TOULON";"83";"VAR";"PROVENCE ALPES COTE D AZUR";"PME";"1";"1987-04-02";"9220";"TRUE";"FALSE"
